year,Cityid,地区,地区生产总值万元,第一产业增加值万元,第二产业增加值万元,第三产业增加值万元,第一产业增加值占GDP比重,第二产业增加值占GDP比重,第三产业增加值占GDP比重,人均地区生产总值元,户籍人口万人,城镇户籍人口万人,非农业人口数万人,年平均人口万人,年末总户数万户,出生人口人,死亡人口人,自然增长率,常住人口,城镇常住人口万人,年末单位从业人员数万人,城镇私营和个体从业人员数人,年末城镇登记失业人员数人,第一产业从业人员数万人,第二产业从业人员数万人,第三产业从业人员数万人,第一产业从业人员比重,第二产业从业人员比重,第三产业从业人员比重,农林牧渔业从业人员数万人,采掘业从业人员数万人,制造业从业人员数万人,电力煤气及水生产供应业从业人员数万人,建筑业从业人员数万人,交通仓储邮电业从业人员数万人,信息传输计算机服务和软件业从业人员数万人,批发零售贸易业从业人员数万人,住宿餐饮业从业人员数万人,金融业从业人员数万人,房地产业从业人员数万人,租赁和商业服务业从业人员数万人,科研技术服务和地质勘查业从业人员数万人,水利环境和公共设施管理业从业人员数万人,居民服务和其他服务业从业人员数万人,教育业从业人员数万人,卫生社会保险和社会福利业从业人员数万人,文化体育和娱乐业从业人员数万人,公共管理和社会组织从业人员数万人,地质勘察水利管理业从业人数万人,交通仓储邮电通信业从业人员数万人,批发零售贸易餐饮业从业人员数万人,社会服务业从业人员数万人,卫生体育社会福利业从业人员数万人,教育文艺广播影视业从业人员数万人,科研综合技术服务业从业人员数万人,机关和社会团体从业人员数万人,在岗职工平均人数万人,在岗职工工资总额万元,职工平均工资元,行政区域土地面积平方公里,年末耕地总资源千公顷,人均占有耕地面积亩,人口密度人平方公里,水资源总量万立方米,地区生产总值增长率,粮食产量万吨,油料产量万吨,棉花产量万吨,蔬菜产量吨,水果产量吨,肉类产量吨,奶类产量吨,水产品产量吨,禽蛋产量吨,规模以上工业企业数个,内资企业数个,港澳台商投资企业数个,外商投资企业数个,规模以上工业总产值当年价万元,内资企业工业总产值万元,港澳台商投资企业工业总产值万元,外商投资企业工业总产值万元,从业人员年平均人数万人,产品销售收入万元,利税总额万元,本年应交增值税万元,利润总额万元,流动资产年平均余额万元,固定资产净值年平均余额万元,流动资产合计万元,固定资产合计万元,主营业务税金及附加万元,固定资产投资总额万元,房地产开发投资完成额万元,住宅开发投资完成额万元,社会消费品零售总额万元,限额以上批发零售贸易业商品销售总额万元,限额以上批发零售贸易企业数个,当年新签项目个数个,当年合同外资金额万美元,当年实际使用外资金额万美元,货物进口额万元,货物出口额万元,地方财政一般预算内收入万元,工商税收万元,地方财政一般预算内支出万元,科学支出万元,教育支出万元,年末金融机构各项贷款余额万元,年末金融机构存款余额万元,城乡居民储蓄年末余额万元,普通高等学校学校数所,普通中学学校数所,小学学校数所,中等职业教育学校数所,普通高等学校专任教师数人,普通中学专任教师数人,小学专任教师数人,中等职业教育学校专任教师数人,普通高等学校在校学生数人,普通本专科在校学生数人,普通中学在校学生数万人,小学在校学生数万人,高中阶段在校学生数人,中等职业技术学校在校学生数人,成人高等学校在校学生数人,每万人在校大学生数人,每万人在校中等职业学生数人,RD人员人,RD内部经费支出万元,专利申请数件,专利授权数件,发明专利授权数件,公共图书馆个,剧场影剧院数个,公共图书馆图书总藏量千册件,每百人公共图书馆藏书册件,博物馆数个,体育场馆数个,卫生机构数个,医院卫生院数个,医院卫生院床位数张,医生数人,客运总量万人,铁路旅客运量万人,公路客运量万人,水运客运量万人,民用航空客运量人,货运总量万吨,铁路货物运量万吨,公路货运量万吨,水运货运量万吨,民用航空货邮运量吨,年末邮政局数处,邮政业务总量万元,电信业务总量万元,本地电话年末用户数万户,移动电话年末用户数万户,国际互联网用户数户,全年用电量万千瓦时,工业用电万千瓦时,城镇生活消费用电万千瓦时,境内公路总里程公里,高速公路里程公里,工业废水排放量万吨,工业废水排放达标量万吨,工业二氧化硫去除量吨,工业二氧化硫排放量吨,工业烟尘去除量吨,工业烟尘排放量吨,工业二氧化硫产生量吨,工业烟粉尘去除量吨,工业烟粉尘排放量吨,工业氮氧化物排放量吨,生活污水处理率,生活垃圾无害化处理率,工业固体废物综合利用率,一般工业固体废物综合利用率,污水处理厂集中处理率,可吸入细颗粒物年平均浓度微克立方米,保险业承保额万元,城镇职工基本养老保险参保人数人,城镇基本医疗保险参保人数人,失业保险参保人数人,提供住宿的社会工作机构数个,养老机构数个,提供住宿的社会工作机构床位数张,养老机构床位数张,Population_density,Popjuniorcollege,Popcollege,Human_capital_index,GDP_10000yuan,PM25,ResidentsPop,RegisteredPop,Population_mobility_rate,Housing_price
2009,110000,北京,121530000,1178841,28559550,91791609,.97,23.5,75.53,70452,1245.83,,,1235.6,,,,3.75,,,619.35,3933230,81550,3.23,145.2,470.92,.52,23.44,76.03,3.23,5.03,99.45,6.61,34.11,50.07,36.21,50.17,28.28,25.38,30.15,72.88,43.77,8.77,7.62,41.67,20.14,15.82,39.99,,,,,,,,,555,32271711,58139.89,16411,,,759,,10.2,124.77,1.81,.077,3171100,1201300,471900,674000,58161,,6891,5494,378,1019,110391291,64278406,10108962,36003923,120,,,3464650,7429216,,,72933455,49898274,,48584051,23377124,9066168,53098869,266692029,9068,1423,,612094,,,20268089,,23193658,1263072,3656677,243649662,527302569,145658843,88,647,1160,,57133,50237,49257,,577154,,52.24,64.70999999999999,421522,218045,281490,463,,,,,,,25,150,43680,351,,,6603,638,84896,62348,133872,8160,121373,,43392900,20486,1635,18753,,978700,777,507618,8667454,893,1825,5049323,,,,,,8713,8594,112829,59922,1816769,19077,,,,,78,98.22,69,,,,,,,,,,,,759.14,,577154,463.2686642639847,121530000,,,,,14172.83333333333
2010,110000,北京,141135800,1241995.04,33886705.58,106007099.38,.88,24.01,75.11,75943,1257.8,,,1251.8,,,,.83,,,646.63,4303573,77255,3.23,151.24,492.16,.5,23.39,76.11,3.23,4.54,100.55,6.8,39.35,51,41.73,55.38,27.96,27.24,31.54,77.81,45.74,8.76,7.44,40.56,20.67,15.25,41.08,,,,,,,,,577,37890732,65682.17,16411,,,766,,10.3,115.7,1.55,.046,3029800,1151700,462600,641100,63365,151400,6885,5543,358,984,136998388,82208182,11144838,43645368,124,,,4097894,10283360,,,90129501,55513073,,54935179,29010686,15089501,62292986,372063366,8953,1629,,636358,,,23539301,,27173174,1789154,4502155,281750343,620418389,168742848,89,634,1104,,58383,49873,49480,,577828,,50.83,65.33,417829,219414,266271,459,,,,,,,25,182,46130,367,,,6539,550,85935,65954,140663,8903,126130,,56299473,21886,1572,20184,,1297990,773,420790,10668311,886,2118,5455639,,,,,,8198,8096,129888,56844,1907537,21266,,,,,81,96.95,66,,,,,,,,,,,,766.4400000000001,,577828,459.3957703927493,141135800,,,,,23327.25
2011,110000,北京,162519300,1365162.12,37525706.37,123628431.51,.84,23.09,76.06999999999999,81658,1277.9,,,1267.9,,,,5.6,,,685.9,2699061,81336,2.36,166.05,517.49,.34,24.21,75.45,2.36,6.72,107.78,9.02,42.53,57.41,49.09,63.57,29.23,32.87,35.13,58.7,50.57,8.960000000000001,7.33,42.6,22.43,16.51,43.09,,,,,,,,,630,47786423,75834.61,16411,,,779,,8.1,121.8,1.39,.052,2968700,830700,444200,639800,61228,151500,3740,2783,243,714,145136281,87810931,11047040,46278310,,,,4270556,11294991,,,98202576,51376622,2319302,58515201,30363340,17783070,69003246,452143106,8690,1636,,705447,,,30062751,,32452264,1830745,5200778,317912891,698838733,189162355,89,632,1090,137,58735,56039,45684,9799,578633,,49.73,68.05,408861,213789,264109,453,167,,,,,,25,193,50490,395,,,9699,569,87596,69749,145773,9755,129918,,61000000,24788,1380,23276,,1315605,762,515951,4362841,884,2576,5233645,,,,,,8633,,,61299,,,154714,,29405,,,98.23999999999999,66,,81.68000000000001,,,10893893,11880098,8810357,,,,,778.7,,578633,452.7999060959386,162519300,,,,,26076.75
2012,110000,北京,178794000,1501869.6,40586238,136705892.4,.84,22.7,76.45999999999999,87475,1297.5,,,1287.7,,,,6.8,,,717.4,4777795,71982,2.54,166.53,548.3,.31,22.68,77.01000000000001,2.54,3.85,107.15,8.94,42.74,57.84,52.63,68.64,31.96,37.56,37.06,61.4,54.05,9.390000000000001,8.640000000000001,44.38,22.96,17.06,44.73,,,,,,,,,663,56579220,85306.02,16411,,,791,,7.73,113.8,1.3,.027,2799000,1136000,432000,651000,64000,152000,3692,2767,240,685,155962123,97361378,11232295,47368450,,,,4116161,12678868,,,115547666,59455870,2635845,64165795,31534419,16279851,77028167,523829736,8108,1360,,804160,,,33149340,,36853076,1999444,6286510,345179846,778760000,214045510,91,630,1081,130,60004,57379,46783,9158,581844,,49.9,71.87,426714,233209,265049,448,180,,,,,,,198,55560,428,,,,608,92610,82192,149037,10315,132333,,63890000,26291,1232,24925,,1341105,765,584535,4880146,883,3168,5720000,,,,,,9190,,,59330,,,159493,,30844,,,99.12,,78.95999999999999,83,,,12063791,14315958,10067391,,,,,790.6,,581844,448.4346820809249,178794000,,,,,26808.58333333333
2013,110000,北京,195005600,1618546.48,43525249.92,149861803.6,.83,22.32,76.84999999999999,93213,1316.3,,,1306.9,,,,6,,,742.3,6402778,68144,3.13,162.88,576.25,.42,21.94,77.64,3.13,6.76,103.49,8.720000000000001,43.91,59.23,58.24,68.81,31,39.14,40.58,66.18000000000001,59.65,9.82,9.09,46.1,24.83,18.1,45.48,,,,,,,,,692,65020386,93996.77,16411,,,802,,9.07,96.09999999999999,1,.015,2669000,1038000,418000,615000,64000,175000,3641,2753,223,665,173708872,106143995,11689034,55875843,,,,5371656,12828840,,,127305911,60602824,2813921,69826696,34834045,17245610,83751191,520046401,7256,1190,,852418,,,36611097,,41736563,2346742,6811775,382214492,837612980,229043566,89,638,1093,119,66026,58963,48726,9212,589254,,49.82,78.93000000000001,396145,208559,258278,301,158,,,,,,,272,53160,404,,,,647,115278,85819,71057,11588,52481,,69880000,25865,1078,24651,,1360000,918,584585,5940104,868,3374,5350000,,,,,,9486,,,52041,,,156984,,27182,,,99.3,,86.58,84.59999999999999,,,13112997,13547669,10250919,,,,,802.11,,589254,447.6593481729089,195005600,,,13.163,,37402.66666666666
2014,110000,北京,213308300,1599812.25,45455998.73,166273819.85,.75,21.31,77.95,99995,1333.4,,,1324.9,,,,7.2,,,755.86,8285921,74272,3.233,159.944,592.683,.43,21.16,78.41,3.233,6.105,100.035,8.201000000000001,45.603,60.226,61.111,72.282,30.25,43.157,41.015,70.754,59.798,9.92,8.84,45.803,25.429,17.445,46.653,,,,,,,,,705,72933476,103400.41,16411,,,812,,7.3,,,,,,,,,,3686,2834,209,643,184528984,112021231,18105818,54401935,,,,5615607,15157524,,,140424729,62778442,3051352,75114785,39113411,19620321,96379959,600655245,8590,1318,,904085,,,40271609,,45246690,2827117,7420541,424452990,905458756,239722163,89,643,1040,123,67549,61043,49434,10756,594614,,48.43,82.12,344654,167100,237644,446,125,,,,,,,251,56010,420,,,,672,102851,89590,71715,12609,52354,,67520000,26697,1132,25416,,1490000,953,637602,6873707,831,4076,5530000,,,,,,9174,,,40347,,,135115,,22710,,,99.59,,87.67,86.09999999999999,,,13926052,16042532,10571258,,,,,812.5,,594614,445.9382030898455,213308300,,21.711,13.334,.628243587820609,38614.16666666666
2015,110000,北京,230145900,1403889.99,45430800.66,183311209.35,.61,19.74,79.65000000000001,106497,1345.2,,,1339.3,,,,3.7,,,777.345,9517309,91593,3.895,151.036,622.413,.5,19.43,80.06999999999999,3.895,5.286,92.191,8.227,45.332,60.027,68.00700000000001,77.054,29.756,47.164,42.157,80.089,59.347,10.195,9.023999999999999,47.322,27.274,18.264,46.735,,,,,,,,,727,82252242,113073,16411,,,820,,6.9,,,,,,,,,,3548,2745,195,608,174496269,103904167,18669714,51922388,,,,5693787,15977122,,,152214302,66601836,3318066,79409699,42363473,19626850,103380064,518112598,6216,1386,,1299635,,,47238597,,57377011,2877956,8556654,488531687,1222842876,239139670,90,646,996,122,65230,63391,50053,8874,593448,,45.28,85.03,,134334,,441,100,,,,,,,,59430,442,,,,701,104644,96445,,,49931,,71720000,,,19044,,1582358,949,678365,9233637,785,4052,4920000,,,,,,8978,,,22070,,,64153,1461648,12987,,,99.8,,83.33,87.90000000000001,,,14242483,14756583,10822872,,,,,819.5700000000001,,593448,441.1596788581624,230145900,,21.883,13.452,.626746952126078,39163.58333333334
2016,110000,北京,256691300,1309125.63,49438744.38,205943429.99,.51,19.26,80.23,118198,1363,,,1354,,,,8.529999999999999,,,791.52,3798000,91421,3.687,146.455,641.378,.47,18.5,81.03,3.687,4.533,86.88500000000001,9.093999999999999,45.944,58.231,69.223,78.369,29.412,51.416,43.886,80.126,68.97499999999999,10.313,8.58,48.626,28.583,18.662,46.977,,,,,,,,,729,90005000,122749,16411,,,,351000,6.8,,,,,,,,,,3340,2594,181,565,180872720,108071575,16802997,55998148,,,,5667337,16082648,,,166431586,68330561,3221330,78887000,40454000,19510000,110051000,548665725,6010,1073,,1302858,,,50812595,,64066737,2857785,8873761,566188715,1327919063,280120329,91,646,984,121,66149,64549,51787,8235,599188,,43,87,,121065,,,,,,,,,,,62290,,,,,713,110021,89411,,,48039,,78720000,,,19972,,1629082,949,721895,13964015,694,3869,4760000,,,,,,8515,,,10257,,,42802,1317328,7874,,,99.84,,,90,,,14590760,15176243,11175010,,,,,,,599188,439.6096845194424,256691300,,21.954,13.629,.610829848117984,47167.83333333334
2017,110000,北京,280149400,1204642.42,53256400.94,225688356.64,.43,19.01,80.56,128994,1359,,,1361,543,185885,264527,-5.79,,,812.859,3533000,81000,3.412,142.152,667.296,.42,17.49,82.09,3.412,4.12,82.38,9.036,46.616,57.694,77.44,76.797,31.105,54.45,44.278,88.27,71.248,10.664,8.6,50.57,29.325,19.019,47.836,,,,,,,,,754,101828000,134994,16406,,,,297700,6.7,,,,,,,,,,3231,2512,175,544,,,,,,,,5685501,20236731,,,175963717,72584189,3387181,,36925000,16946697,115754000,633859143,6341,,,2433000,,,54307875,,68194936,3617191,9645817,633825000,1379521000,289622000,92,649,984,117,69715,66635,53782,7634,,592878,43,88,,92277,,,,397281,15796512,185928,106948,46091,,,65280,,71,,,656,113700,94417,,,44940,,86070000,,,19374,,1749346,,830179,8755281,,3752,5420000,10668903,3104137,1853331,,,8494,,,3799,,,,,4282,15405,,99.88,,74.01000000000001,92.40000000000001,58,,15143284,15691611,11709000,,,,,,592878,592878,436.2604856512141,280149400,58,21.944,13.592,.614479105356092,56321.41666666666
2018,110000,北京,303199787,1182479.169,56486120.318,245531187.513,.39,18.63,80.98,140211,1376,,,1368,549,156625,100698,4.07,,,819.302,7503000,102400,2.664,135.56,681.078,.33,16.55,83.13,2.664,3.596,74.414,9.739000000000001,47.812,60.198,84.03,73.643,31.212,54.687,47.251,81.297,71.715,12.242,11.357,55.776,30.452,19.028,48.19,,,,,,,,,772,115628115,149843,16406,,,,354573,6.6,,,,,,,,,,3197,2478,176,543,,,,,,,,5656365,15300110,,,179385253,,3791392,,38733513,20260619,117476796,694670758,6985,1639,,1731089,223039338,48785416,57859175,,74675240,4258712,10255068,704836718,1570922324,340189631,92,644,970,113,70491,68898,54531,7764,,581133,43,91,,90985,,,,,,211212,123496,46978,,,67770,,179,,,736,116279,109376,,,44175,,91230000,,,20278,,1765757,,3835505,6193326,,4009,6350000,11423809,3073165,2106181,,,8422,,,1554,,,,,15343,14988,,99.94,,68.93000000000001,93.40000000000001,51,,15914979,16288778,12407013,,,,,,581133,581133,422.3350290697674,303199787,51,21.917,13.758,.593036778601541,58649.16666666666
2019,110000,北京,353710000,1131872,57159536,295418592,.32,16.16,83.52,164220,1397,,,1387,554,153133,49152,7.44,,,791.298,5514378,93500,.358,123.236,667.704,.05,15.57,84.38,.358,3.178,65.386,9.555,45.116,58.952,85.913,59.626,30.498,64.47799999999999,47.42,73.706,68.94499999999999,12.38,6.832,57.576,32.531,18.606,50.24,,,,,,,,,729,126272672,173205,16410,,,,245600,6.1,,,,,,,,,,3121,2471,155,495,,,,,,,,4620751,17102542,,,190542547,,3723458,,,,150636524,738919894,9740,1636,,1421299,235047999,51723764,58170994,,74082503,4334165,11360185,735759400,1643494898,373096750,93,654,941,111,68685,71271,55758,7630,,585971,46,94,,76517,,,,464178,22335870,226113,131716,53127,,,70480,,179,,,745,119574,115771,,,48151,,92420000,,,22325,,1661162,,3982057,6196743,,4020,6890000,11663964,2990649,2049447,,,7716,,,1132,,,,,3349,12961,,99.98,,63.93,,42,,16516233,16825174,12947809,,,,,,585971,585971,419.4495347172513,353710000,42,21.901,13.974221,.567242996944159,59695.5
2020,110000,北京,361030000,1083090,57151049,302795861,.3,15.83,83.87,164889,,,,,,,,,2189,1916,739.9400000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,687,126927616,185026,,,,,257600,1.2,,,,,,,,,,3028,2411,147,470,,,,,,,,,17295493,,,210844748,,,,,,137163960,759697422,10188,,,,185609687,46549453,54838866,,71161762,4109628,11382891,810351930,1811055634,,92,656,934,84,70645,59092,71035,5765,,590335,49,100,,46376,,,,,,,162824,63266,,,72410,,183,,,733,119310,118541,,,24548,,,,,21789,,,,,,,,,,,,22264,1173,,,,988,,,,,4376,9751,,100,,,,38,,17778150,17415956,13183824,,,,,1334,590335,590335,420.0177872643188,361030000,38,21.89,13.954758,.568640602724891,58072.91666666666
2021,110000,北京,402700000,1127560,72687350,328885090,.28,18.05,81.67,183980,1414,1201,,,,,,,,,759.509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,709,142832359,201504,,,,,610000,8.5,,,,,,,,,,3073,2428,131,514,,,,,,,,,36843749,,,251024713,,,,,,148677416,882590616,10363,,,,243198973,61184689,59323080,,72051201,4494463,11478293,860775028,1921043104,,92,667,837,83,74208,61204,74442,5598,,616978,53,104,,643811,,,,,,,198778,79210,,,75480,,204,,,720,122287,112665,,,28059,,,,,23075,,,,3842939,6827087,,3972,8060000,,,,22320,1177,,,,1004,,,,,,9590,,100,,,95.59,33,,18267584,14860477,13590157,609,578,116451,109334,1334,616978,616978,436.3352192362094,402700000,33,21.886,14.135491,.548301364275213,58356.42857142857
2022,110000,北京,416110000,1123497,66036657,348949846,.27,15.87,83.86,190313,1428,1216,,,,,,,,,747.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714,153565189,,,,,,240000,.7,,,,,,,,,,3141,2494,130,517,,,,,,,,,19987243,,,274129431,,,,,,137942455,906908305,10727,,,,305554835,58900240,57143582,,74691549,4887041,11711223,954968928,2124467258,,92,684,719,77,76154,62867,76699,5937,,626590,55,108,,414074,,,,,,,202722,88127,,,34920,,215,,,728,126309,114768,,,21105,,,,,18549,,,,3649487,7332630,,3927,,,,,22363,1196,,,,799,,,,,,9765,,100,,,98.06999999999999,30,,18678356,14993630,13914474,,584,115356,110224,1331,626590,626590,438.7885154061624,416110000,30,21.843,14.277092,.529933406606892,
2009,120000,天津,75218500,1286236.35,39880848.7,34051414.95,1.71,53.02,45.27,62574,979.84,,,974.4,,,,3.96,,,201.65,1790600,150000,.74,96.18000000000001,104.73,.37,47.7,51.94,.74,9.27,72.90000000000001,3.34,10.67,12.29,2.48,11.85,4.08,6.68,3.12,7.34,5.91,3.6,7.01,16.56,8.49,1.75,13.57,,,,,,,,,183,8234840,45075.48,11760,,,833,,16.5,156.29,.54,7.09,3738500,670500,395000,687300,341721,,8326,5878,480,1968,130836313,76339562,8959712,45537039,137,,,4671699,8312768,,,63394712,49697948,,50063247,7351836,4948563,24308297,97181903,3904,596,,901985,,,8219916,,11242778,339953,1736062,111521900,138871100,49730500,55,571,983,,27118,41464,37942,,405968,,47.46,50.74,357755,156532,77533,414,,,,,,,31,37,11924,122,,,2617,437,41921,27261,25299,2384,22566,15,3340000,42744,11284,19800,11656,40000,823,269100,3597600,385,993,5333900,,,,,,19441,19440,256518,172980,4203247,58687,,,,,80,94.3,98,,,,,,,,,,,,833.2,,405968,414.3207054212933,75218500,,,,,11054.42857142857
2010,120000,天津,92244600,1457464.68,48400741.62,42386393.7,1.58,52.47,45.95,72994,984.85,,,982.4,,,,.41,,,205.65,2050700,160983,.71,97.73999999999999,107.2,.35,47.53,52.13,.71,8.960000000000001,75.3,3.27,10.21,12.5,2.24,12.39,4.83,6.95,3.61,6.95,6.47,3.55,6.86,16.43,8.98,1.75,13.69,,,,,,,,,184,9738432,52963.68,11760,,,837,,17.4,159.7,.64,6.27,4193100,600400,426000,693000,344906,199200,7947,5611,453,1883,167518155,97033380,14554716,55930059,149,,,6504236,15520534,,,74710864,57326557,,65114200,8666424,5653883,29025506,136424934,3802,592,,1084872,,,10688093,,13768395,432530,2295648,137741100,164992500,56343400,55,546,956,,28094,40718,37317,,429224,,45.86,50.59,331515,135748,71659,436,,,,,,,31,27,12583,128,,,2687,438,44080,28478,24873,2654,21822,1,3955500,40368,7597,20855,11912,43000,833,281300,4071300,367,1090,1740400,,,,,,19680,19671,374014,217620,4844544,53831,,,,,83,100,99,,,,,,,,,,,,837.46,,429224,435.8267756511144,92244600,,,,,11739.33333333333
2011,120000,天津,113072800,1594326.48,59284069.04,52194404.48,1.41,52.43,46.16,85213,996.4,,,990.7,,,,5.1,,,268.24,2317100,201100,.6,157.84,109.8,.22,58.84,40.93,.6,10.41,112.66,4.21,30.56,11.43,2.08,14.74,6.73,7.72,4.15,6.41,5.34,3.36,6.82,16.46,8.880000000000001,1.6,14.08,,,,,,,,,251,13940238,55636.33,11760,,,847,,16.4,161.8,.64,7.23,4313000,615700,429200,693900,352148,192600,5013,3365,321,1327,208627443,122649590,20418346,65559507,,,,7582693,1933717,,,94449290,62324889,2781290,74836973,10800492,6890818,33950600,186187042,4220,634,,1305602,,,14551299,,17963333,601721,3023241,148977200,169105200,62060300,55,525,874,100,28919,41020,37457,8922,449702,,44.74,51.85,321912,127529,66590,451,128,,,,,,31,29,13539,136,,,4431,461,44661,29833,25331,2801,22053,1,4750000,43428,7286,23426,12711,49100,865,216797,1591000,334,1235,1901900,,,,,,19795,,,221897,,,554913,76933935,65333,,,100,100,,86.75,,,4587000,4745200,2587500,,,,,847.3099999999999,,449702,451.3267763950221,113072800,,,,,13066.91666666667
2012,120000,天津,128938800,1714886.04,66635571.84,60588342.12,1.33,51.68,46.99,93173,993.2,,,994.8,,,,-6.7,,,289.1,2482400,204000,.55,162.64,125.88,.19,56.26,43.55,.55,6.92,120.25,4.37,31.1,14.08,3.27,17.47,6.91,7.82,5.53,5.44,8.27,3.68,10.88,16.3,8.83,1.9,15.5,,,,,,,,,234,15288191,65398.43,11760,,,845,,13.8,161.8,.6,5.8,4477000,582000,458000,682000,365000,187000,5342,3673,332,1337,234275026,138862636,25840760,69571630,,,,9032735,33178222,,,108281076,71958150,3119904,83402588,12599969,8430526,39214286,232844145,4534,632,,1501633,,,17600201,,21432125,764529,3787491,173920600,196756800,70553800,55,519,843,97,29929,41495,37769,8802,473114,,43.78,53.23,299701,118466,69007,476,119,,,,,,,29,14692,148,,,,465,48896,30710,28462,2970,24483,,10090000,46475,7909,28228,10332,62500,888,268683,1598740,354,1303,2140000,,,,,,19117,,,215481,,,623909,,59036,,,99.8,,99.62,87.40000000000001,,,4902600,9813000,2686900,,,,,844.5599999999999,,473114,476.3532017720499,128938800,,,,,12532.83333333333
2013,120000,天津,143701600,1882490.96,72770490.23999999,69048618.8,1.31,50.64,48.05,99607,1004,,,998.6,,,,5.1,,,302.4,1775800,216900,.53,165.47,136.44,.18,54.71,45.11,.53,7.61,122.33,4.49,31.04,14.35,3.57,17.17,6.57,8.09,9.15,5.77,10.75,4.14,10.83,18.94,9.31,2.27,15.53,,,,,,,,,285,19613700,68863.49000000001,11917,,,842,,11.45,174.7,.6,4.8,4551000,542000,465000,685000,399000,189000,5383,3703,335,1345,262274556,155099980,28933600,78240976,,,,8593291,19927619,,,121599583,,3179547,100910313,14808152,12753220,44704286,287478453,5164,564,,1682897,,,20790716,,25492061,928087,4613571,194533091,226845862,76123070,55,518,838,93,30900,41556,38275,8285,489919,,43.59,55.21,286009,110865,73572,285,110,,,,,,,29,14738,147,,,,482,53062,32059,29519,3352,24980,,11870000,50322,8446,31985,9884,70000,850,306302,1653735,353,1323,1880000,,,,,,18692,,,207793,,,711656,6640410,62766,,,96.8,,99.39,89.2,,,5206700,4930800,2786900,,,,,842.47,,489919,487.9671314741036,143701600,,,10.0397,,13636.83333333333
2014,120000,天津,157269300,2013047.04,77659580.34,77596672.62,1.28,49.38,49.34,105231,1016.7,,,1010.3,,,,6.8,,,299.96,1271234,225236,.5,165.83,133.63,.17,55.28,44.55,.5,6.64,118.99,4.46,35.74,14.34,3.85,17.27,5.96,8.91,6.67,6.66,10.69,4.07,11.04,17.37,9.279999999999999,2.08,15.44,,,,,,,,,243,20631400,84833.06,11917,,,853,,10,,,,,,,,,,5501,3924,323,1254,280350275,172275359,31358181,76716735,,,,9923712,22618329,,,127624551,82482191,3325917,116262649,16996496,11222553,47386543,326018304,5197,674,,1886676,,,23903518,,28846993,1089967,5170063,217159863,239594223,79168974,55,507,842,90,31008,42140,38968,8189,505795,,43.86,57.32,276607,107001,73279,497,105,,,,,,,27,15980,157,,,,631,59490,33340,19600,3687,14530,,13830000,49751,8872,31130,9749,,876,360800,134868,361,1352,10140000,,,,,,19011,,,195395,,,850132,4802256,112129,,,96.23,,98.91,100,,,6572800,10236200,2875700,,,,,853.12,,505795,497.4869676404052,157269300,,14.29,10.1666,.405582987429426,15065.16666666667
2015,120000,天津,165381900,2083811.94,77034889.02,86246660.84999999,1.26,46.58,52.15,107960,1026.9,,,1021.8,,,,2.94,,,294.78,1298569,229810,.53,151.338,142.911,.18,51.34,48.48,.53,6.496,110.776,4.524,29.543,15.008,4.354,17.846,5.18,12.135,7.344,8.199999999999999,11.318,4.135,10.987,17.97,9.712,2.208,16.515,,,,,,,,,246,20740170,84187,11917,,,862,,9.300000000000001,,,,,,,,,,5525,4018,304,1203,282421305,179518583,31393841,71508881,,,,9361562,22218230,,,130682062,84525655,3571124,130480000,18715500,12505300,52572834,331562939,5158,1035,,2113444,,,26671100,,32323500,1208200,5074400,245009122,271459275,87437889,55,509,849,90,31128,42507,40202,7872,512854,,42.7,60.21,,113064,,499,110,,,,,,,,16970,165,,,,661,62495,35871,,,14218,,15030000,,,33724,9910,80000,421,600467,2617627,344,1406,12050000,,,,,,18973,,,154605,,,522273,4315652,73795,,,99,,98.58,99,,,5651800,5220000,2953200,,,,,861.79,,512854,499.4196124257473,165381900,,14.39,10.2691,.401291252397971,15088.08333333333
2016,120000,天津,178853900,2199902.97,75708855.87,100945141.16,1.23,42.33,56.44,115053,1044,,,1036,,,,6.52,,,286.045,3260400,257700,.848,136.347,148.85,.3,47.67,52.04,.848,4.399,99.416,4.348,28.184,14.671,4.848,18.21,5.067,16.007,7.958,9.276,11.487,4.422,9.372999999999999,17.958,10.096,2.122,17.355,,,,,,,,,247,23855100,87806,11917,,,,189200,9.1,,,,,,,,,,5203,3849,278,1076,274016801,187428281,20456056,66132464,,,,8427538,20466908,,,122534551,91918073,3339703,127563593,23000100,15982700,56358078,352708169,5320,1106,,3082563,,,27235000,,36994300,1251740,5024901,273679661,290413611,91253832,55,516,857,87,30509,43033,41547,8101,513842,,42,63,,122850,,,,,,,,,,,18060,,,,,571,61764,37804,,,13741,,16450000,,,32841,9515,66900,421,827049,3980178,311,1500,2840000,,,,,,18022,,,54539,,,434147,4827143,57280,,,94,,98.98999999999999,,,,6390300,5356800,3024700,,,,,,,513842,492.1858237547893,178853900,,14.43,10.444,.381654538491,18674.08333333333
